name,email,age,zipcode,gender,password,street,major
Maryjane Ratke DVM,mr4981@nittany.edu,18,30218,M,4y9tpklm,6 Andover Dr. ,MATH
Rosanna Raynor II,rr3451@nittany.edu,22,32079,F,mfh91bnj,655 East Branch Dr. ,EE
Sydnie Eichmann,se2637@nittany.edu,18,52323,F,66hclke8,78 South Brewery Ave. ,CHEM
Johan Marquardt,jm7044@nittany.edu,21,90004,M,jhdfzk6j,141 Gulf Rd. ,IST
Zora Gottlieb,zg1956@nittany.edu,18,86443,F,18ujzopj,83 Corona Street ,CHEM
Mr. Terence Barrows,mt7486@nittany.edu,20,32310,M,pyhzcqqb,963 Court Road ,CHEM
Karina Heaney V,kh5965@nittany.edu,20,32091,F,6tevyige,461 Heather Street ,PHYS
Rafaela Towne,rt4621@nittany.edu,18,6039,M,7kg2r96n,266 Second Street ,CSE
Jonathon Renner,jr8895@nittany.edu,19,71839,F,86avpeyh,336 Myrtle Street ,IST
Marquis Corkery,mc3632@nittany.edu,20,47833,M,6se8nlut,8378 West Pulaski Ave. ,DS
Ozella Cremin,oc9673@nittany.edu,21,62288,M,xd3o8mxz,251 West Sheffield Drive ,CMPEN
Pattie Pouros,pp1292@nittany.edu,21,67642,F,hni8nv4y,87 Vermont St. ,IST
Sylvester Rogahn,sr8161@nittany.edu,20,46975,F,o4khshi4,9408 Anderson Court ,MATH
Madeline Beatty,mb3501@nittany.edu,18,33313,M,3z92cca8,78 South Brewery Ave. ,CHEM
Mr. Talia Reilly,mt2330@nittany.edu,22,61955,M,9yv3xir1,7313 Stillwater Lane ,STAT
Sean Schmidt,ss2791@nittany.edu,18,50130,F,08i243xw,8401 Green Rd. ,CMPEN
Leopold Torp,lt1060@nittany.edu,18,83348,F,rfbl7dns,91 S. Gartner Street ,PHYS
Madaline Monahan DVM,mm9332@nittany.edu,21,95757,M,532k3czr,185 E. Trenton Street ,IST
Mittie Kuvalis,mk2051@nittany.edu,18,92107,M,ap25n3ab,7297 Applegate St. ,STAT
Jamarcus Kutch,jk9270@nittany.edu,19,71842,M,1ryphig3,6 Andover Dr. ,ECON
Lacey Cremin,lc9556@nittany.edu,22,50034,F,ryeicg8y,9599 La Sierra St. ,STAT
Jalen Stanton,js1332@nittany.edu,21,72469,F,93y7sv9c,361 E. Sierra Street ,STAT
Shaun Schamberger,ss5447@nittany.edu,18,34653,M,15xkc9gi,91 S. Gartner Street ,STAT
Mrs. Adrain Howe,ma2722@nittany.edu,19,90010,F,znklaesk,9659 Rosewood Drive ,IST
Shania Walker V,sw9710@nittany.edu,22,93401,M,3n0anbkn,78 South Brewery Ave. ,ECON
Shane Mayer,sm6158@nittany.edu,18,72760,M,8ho2ylkn,8378 West Pulaski Ave. ,MATH
Mr. Lurline Green,ml5064@nittany.edu,21,62803,M,xlcl3olo,798 North Euclid Drive ,CMPSC
Kendra Hessel,kh1154@nittany.edu,21,6235,M,5v0x2i2u,9236 El Dorado St. ,STAT
Keshaun Terry,kt5956@nittany.edu,20,6606,M,qgxo5n12,9408 Anderson Court ,MATH
Katelin Rippin DDS,kr9918@nittany.edu,21,33181,M,cndejauu,608 North Addison St. ,ECON
Kaia Orn,ko8925@nittany.edu,21,47025,F,r0wetv5d,182 Spring Street ,PHYS
Marietta Fisher,mf6881@nittany.edu,19,60041,M,0o5ugfpb,285 Dogwood Drive ,ECON
Mrs. Krystal Buckridge,mk4451@nittany.edu,22,32043,M,9ibxvx8f,251 West Sheffield Drive ,ECON
Shanna Murray,sm5255@nittany.edu,19,61938,F,ottq8l4h,8401 Green Rd. ,ECON
Rodrigo Bins,rb2832@nittany.edu,21,6754,F,u023nh0i,461 Heather Street ,PHYS
Jakayla Rogahn,jr3224@nittany.edu,18,30470,F,2pn9hkyw,780 East Redwood Drive ,IST
Khalil Tremblay,kt2050@nittany.edu,20,31094,M,rxsuefl3,18 Lakeview Street ,DS
Woodrow Daugherty,wd2661@nittany.edu,21,95315,F,7p0w4sw8,453 North Elm Dr. ,ECON
Rosa Fahey,rf1975@nittany.edu,20,62943,F,937d9lsa,308 Mammoth Dr. ,PHYS
Miss Neoma Pfannerstill,mn9410@nittany.edu,18,32038,F,exkdo0ql,7764 Union Avenue ,PHYS
Stella Reichel,sr4229@nittany.edu,18,83654,F,421s7hyr,461 Heather Street ,MATH
Titus McClure,tm5315@nittany.edu,20,33982,M,ybftdlvn,963 Court Road ,ECON
Leo Schneider,ls2077@nittany.edu,20,33145,M,zb72v3ys,963 Court Road ,IST
Rodrick Ratke,rr4724@nittany.edu,18,6088,F,hif5wgha,83 Corona Street ,EE
Quinton Johnston,qj6035@nittany.edu,20,62254,M,jc5mjn4j,336 Myrtle Street ,STAT
Justus Prosacco,jp6334@nittany.edu,22,81410,F,jtpv3g6o,336 Myrtle Street ,CSE
Madeline Smith,ms6805@nittany.edu,20,62355,M,2ki3shs0,655 East Branch Dr. ,IST
Sallie McDermott,sm4829@nittany.edu,18,72014,M,5cjv882q,9659 Rosewood Drive ,CHEM
Mireya Pouros,mp8264@nittany.edu,22,60450,M,7f94l7s0,608 North Addison St. ,IST
Mrs. Daryl Beier,md9837@nittany.edu,21,61484,M,b72x34cx,495 Jockey Hollow Ave. ,STAT
Marisol Crona,mc9587@nittany.edu,18,31216,F,o7rl1udy,7195 North Canterbury Circle ,CHEM
Wava Anderson IV,wa5127@nittany.edu,18,47725,M,h7waj302,141 Gulf Rd. ,DS
Miss Paul Hills,mp8748@nittany.edu,22,52208,M,pxfwcqxb,26 Johnson St. ,MATH
Velma Lebsack,vl5929@nittany.edu,21,50067,M,rof5jch8,9498 Newport Ave. ,CHEM
Mrs. Deja Mosciski,md8760@nittany.edu,21,61028,F,bkiff3gh,336 Myrtle Street ,CMPSC
Rosie Huel,rh1754@nittany.edu,22,62690,M,08ddd6ps,608 North Addison St. ,EE
Marcelina Collins,mc2699@nittany.edu,19,32578,M,gvftq3ee,9236 El Dorado St. ,DS
Joel Hammes,jh9891@nittany.edu,18,31523,M,ra3xf3g2,863 Stillwater Road ,IST
Ismael Von,iv6531@nittany.edu,19,47167,F,aa8obunx,798 North Euclid Drive ,IST
Ivory Reichert,ir2135@nittany.edu,19,32805,M,7m9wcg8w,7 Arch Court ,DS
Mae Rolfson,mr1874@nittany.edu,18,93033,F,otcje7py,655 East Branch Dr. ,STAT
Rowland Roob V,rr7213@nittany.edu,21,61863,F,wgtnbh1o,259 Cleveland Road ,CHEM
Rigoberto Huel,rh6801@nittany.edu,19,31774,M,ungqga6k,8985 Cambridge Ave. ,CSE
Mr. Jasen Stracke,mj1770@nittany.edu,18,50171,F,ehf2dmzk,18 Lakeview Street ,MATH
Ms. Maci Schamberger,mm6107@nittany.edu,21,66515,M,5yczj6oj,7313 Stillwater Lane ,IST
Mrs. Amparo Bahringer,ma4550@nittany.edu,22,80116,M,99wxwmdm,7313 Stillwater Lane ,MATH
Jarret Mante,jm2995@nittany.edu,22,46745,F,jolwy2s0,4 Old Academy Drive ,ECON
Monica Zieme,mz7054@nittany.edu,19,33167,F,ct9v66xc,9408 Anderson Court ,DS
Kevon McDermott,km3504@nittany.edu,21,61239,M,ggt4hfj9,7297 Applegate St. ,ECON
Ophelia Murphy,om9683@nittany.edu,19,32087,F,30cb43o7,232 W. Homewood Ave. ,STAT
Jeanne Marquardt,jm6846@nittany.edu,18,50613,M,3hbwxyko,232 W. Homewood Ave. ,EE
Jarrett Kessler,jk4828@nittany.edu,20,33016,M,q0ssowih,119 Harvey Street ,CMPEN
Rafaela Legros,rl4225@nittany.edu,21,72856,M,k0t192jm,232 W. Homewood Ave. ,MATH
Madelynn Grimes,mg8599@nittany.edu,19,33704,M,dwq6vie7,7 Arch Court ,PHYS
Leonel Beahan V,lb9630@nittany.edu,20,80231,F,1ac5j9hy,7764 Union Avenue ,PHYS
Price Parker,pp1200@nittany.edu,21,94041,F,9hg8nilg,285 Dogwood Drive ,DS
Stephen Ward,sw4720@nittany.edu,19,96035,M,0v91h6mw,308 Mammoth Dr. ,DS
Leon Morissette,lm1801@nittany.edu,21,61275,F,zrzby18o,8401 Green Rd. ,STAT
Mackenzie Halvorson,mh9954@nittany.edu,18,93060,F,gysd8ywq,18 Lakeview Street ,PHYS
Kara Wiegand I,kw1386@nittany.edu,21,83846,M,9sr4krcq,232 W. Homewood Ave. ,ECON
Pascale Abbott,pa6499@nittany.edu,21,60712,M,y8692wws,251 West Sheffield Drive ,CHEM
Scot Will Jr.,sw3767@nittany.edu,20,61037,M,pwnt950j,259 Cleveland Road ,EE
Rashad Larson,rl7115@nittany.edu,19,66711,M,ibm2bo3e,7 Arch Court ,EE
Savanna Brakus,sb4094@nittany.edu,21,60031,M,krp1pkam,8378 West Pulaski Ave. ,STAT
Lolita Moore,lm3612@nittany.edu,20,30513,F,0djua4jk,453 North Elm Dr. ,CHEM
Maritza McKenzie,mm7898@nittany.edu,19,90605,M,yh7imzim,55 Hall St. ,ECON
Sammy Douglas V,sd7475@nittany.edu,22,47725,F,mmw3lwvp,780 East Redwood Drive ,MATH
Marta Zieme DDS,mz3667@nittany.edu,22,95660,M,ntwa6o22,4 Old Academy Drive ,CMPSC
Mrs. Oma Veum,mo1767@nittany.edu,21,85009,F,uhxeokud,119 Harvey Street ,MATH
Marco Schaefer,ms1481@nittany.edu,18,86545,M,yxwumm5l,55 Hall St. ,DS
Wilson Runte,wr2752@nittany.edu,18,47201,M,whmc8nsh,26 Johnson St. ,ECON
Odessa Upton,ou9392@nittany.edu,22,90704,F,9oes49js,8687 N. Sleepy Hollow Court ,CHEM
Melyna Lindgren,ml9111@nittany.edu,19,32003,F,1zvudew1,8378 West Pulaski Ave. ,CMPSC
Leon Hettinger,lh5555@nittany.edu,19,30802,M,tgsfcg7u,8687 N. Sleepy Hollow Court ,MATH
Retha Schamberger,rs3074@nittany.edu,22,61928,F,e1lek9bw,185 E. Trenton Street ,MATH
Mr. Brionna Padberg,mb2986@nittany.edu,22,50428,M,yppqbd8m,860 Wakehurst Dr. ,CSE
Myrtie Hilpert,mh2194@nittany.edu,21,72367,F,z0ak5f78,336 Myrtle Street ,EE
Shayna Greenfelder V,sg9224@nittany.edu,18,93616,F,xpddtqtt,83 Corona Street ,CHEM
Susanna Lueilwitz,sl9147@nittany.edu,22,33974,M,vjp9fvw3,7195 North Canterbury Circle ,IST
Tanya Zulauf,tz1637@nittany.edu,19,66516,M,z8brxxr2,9498 Newport Ave. ,MATH
Beau Krajcik,bk5477@nittany.edu,21,31217,F,fv67v7ud,780 East Redwood Drive ,CMPEN
Aurelia Ferry,af2362@nittany.edu,22,46785,M,u9sweo7t,78 South Brewery Ave. ,CHEM
Asa Tromp,at5855@nittany.edu,19,83833,F,rpc0ecr4,9420 Tallwood Street ,EE
Bailee Bernhard,bb2708@nittany.edu,19,50655,M,2z5x0wq9,8985 Cambridge Ave. ,IST
Axel Blanda,ab1769@nittany.edu,18,90803,F,ymt3iyum,655 East Branch Dr. ,MATH
Arturo Schoen,as5959@nittany.edu,18,72762,F,c0hgfkxn,185 E. Trenton Street ,CHEM
Annabell Schuppe I,as3517@nittany.edu,21,50668,F,y6e4oxeo,7 Arch Court ,PHYS
Ashly McGlynn,am9248@nittany.edu,21,80516,M,mpx009eg,639 Princeton Rd. ,CMPEN
Augustine Bednar,ab2069@nittany.edu,21,94950,M,lx2hz60s,708 York Dr. ,ECON
Ardith Buckridge,ab3353@nittany.edu,20,95231,M,p0itvgwk,9659 Rosewood Drive ,CSE
Antonette Gleason,ag4144@nittany.edu,19,93267,F,c8tpvxdf,91 S. Gartner Street ,EE
Annette Erdman III,ae4536@nittany.edu,19,31711,F,mxdgxmjn,7764 Union Avenue ,CMPEN
Austen Schultz,as6603@nittany.edu,20,92004,M,fzkbxbiu,7764 Union Avenue ,CMPSC
Antone Spinka,as6904@nittany.edu,22,34711,F,f096f3px,266 Second Street ,DS
Angie Howell DVM,ah4627@nittany.edu,20,34602,M,3t52wwlg,7450 West Manchester Street ,MATH
Anita Cremin,ac6117@nittany.edu,19,90033,F,17ow7v6r,259 Cleveland Road ,MATH
Baby Stokes,bs3099@nittany.edu,22,60536,F,7398f1v0,91 S. Gartner Street ,PHYS
Antonio Rice,ar5750@nittany.edu,21,6091,M,cu9pnq8n,461 Heather Street ,PHYS
Bailee Keebler,bk4164@nittany.edu,18,50585,M,t26x25az,63 Lake Forest Road ,CSE
Annette Heathcote,ah1893@nittany.edu,19,83830,F,p6q31twb,9599 La Sierra St. ,IST
Arturo Stiedemann,as4372@nittany.edu,19,33027,F,msf24v3r,639 Princeton Rd. ,CMPEN
Arianna Hayes,ah8649@nittany.edu,21,6477,F,vjy43dwn,798 North Euclid Drive ,CSE
Barbara Lynch,bl7521@nittany.edu,22,85352,F,rv6h5k9v,461 Heather Street ,CSE
Baron Pacocha,bp1701@nittany.edu,22,33884,M,fms2vvht,655 East Branch Dr. ,PHYS
Ardith Hettinger,ah2132@nittany.edu,20,33037,M,kp2yck94,461 Heather Street ,STAT
Assunta Walsh,aw9070@nittany.edu,19,30222,F,7zryi69f,8985 Cambridge Ave. ,PHYS
Arnulfo Paucek,ap7012@nittany.edu,19,6450,M,0ahwidu1,4 Old Academy Drive ,STAT
Anika Walsh,aw1897@nittany.edu,18,31634,M,ieerwn8d,863 Stillwater Road ,EE
Antonina Brekke,ab3016@nittany.edu,22,80022,M,xkw7v0ch,336 Myrtle Street ,DS
Ari Simonis,as7706@nittany.edu,22,85328,M,qe5jz5ek,655 East Branch Dr. ,DS
Ayana Wilkinson,aw2413@nittany.edu,20,32535,F,61t53q20,141 Gulf Rd. ,CMPSC
Annabelle Block,ab4636@nittany.edu,19,6897,F,7j28vvzc,308 Mammoth Dr. ,STAT
Arianna Yost,ay6012@nittany.edu,18,61036,F,ps7agu40,8687 N. Sleepy Hollow Court ,EE
Angelo Macejkovic,am1296@nittany.edu,20,95503,F,8rkn1rx3,185 E. Trenton Street ,PHYS
Cicero O'Kon,co9856@nittany.edu,19,51455,F,no2dsq6k,9420 Tallwood Street ,DS
Bettie Gibson II,bg1874@nittany.edu,18,62532,F,3nwq2ezo,8985 Cambridge Ave. ,IST
Carter Zboncak,cz9116@nittany.edu,19,60457,F,3rzaa57p,495 Jockey Hollow Ave. ,STAT
Claire Haley,ch1256@nittany.edu,18,80432,M,qm4tj1ve,141 Gulf Rd. ,CMPSC
Ahmed Marks,am2658@nittany.edu,21,83342,M,2554uc0w,18 Lakeview Street ,MATH
Cody Gislason,cg4965@nittany.edu,18,93604,F,hq5l3bz8,453 North Elm Dr. ,STAT
Cyrus Haag,ch2187@nittany.edu,18,30912,M,afkpa2ws,860 Wakehurst Dr. ,CMPEN
Charlotte Donnelly,cd3328@nittany.edu,20,46902,F,k6a80kp9,259 Cleveland Road ,EE
Bethany Bernhard,bb2169@nittany.edu,21,46140,F,scpn2dpp,358 Marvon Ave. ,ECON
Abigale Jewess,aj2734@nittany.edu,21,67880,M,yi3qshz1,608 North Addison St. ,CMPSC
Cade Spinka Jr.,cs3661@nittany.edu,22,62082,F,2vu5sf3s,7313 Stillwater Lane ,CMPSC
Alden Lind,al7553@nittany.edu,22,61928,F,0fn7cx6r,18 Lakeview Street ,CMPEN
Danny Goldner,dg3029@nittany.edu,22,50475,M,0bn8gx77,7450 West Manchester Street ,EE
Aida Wilderman,aw5441@nittany.edu,19,61822,F,8jz2y2a5,8378 West Pulaski Ave. ,PHYS
Bessie Reinger,br5296@nittany.edu,21,94607,F,47fu0i8o,9408 Anderson Court ,CHEM
Cleveland Bins,cb8478@nittany.edu,19,95316,M,8vc64p5v,83 Corona Street ,IST
Damien Hudson,dh5107@nittany.edu,19,32776,F,pfvpn4hn,232 W. Homewood Ave. ,PHYS
Brice Pacocha,bp7844@nittany.edu,22,95318,F,b98cyqy7,9420 Tallwood Street ,CMPEN
Cody Gutkowski,cg4094@nittany.edu,19,52342,F,p9z2n632,9420 Tallwood Street ,ECON
Cameron Osinski,co3033@nittany.edu,20,30101,F,0n1e6pnc,7529 Old Sunset Road ,CHEM
Dandre Kassulke,dk6748@nittany.edu,21,91604,F,fhdtpgwv,798 North Euclid Drive ,IST
Alexandrea Goodwin,ag2003@nittany.edu,21,95385,M,1diivr7z,7 Arch Court ,STAT
Brody Hackett,bh9149@nittany.edu,20,94937,F,o1rt4cbf,78 South Brewery Ave. ,CMPEN
Alanis Stracke,as3353@nittany.edu,19,31787,F,crailqp3,639 Princeton Rd. ,ECON
Bernadine Koelpin,bk6824@nittany.edu,18,95540,F,142xk754,251 West Sheffield Drive ,CMPEN
Damon Shields,ds4127@nittany.edu,22,34797,F,ti45130u,63 Lake Forest Road ,CMPSC
Alexane Cremin PhD,ac5862@nittany.edu,21,92625,F,uvhbxp40,9659 Rosewood Drive ,PHYS
Cleo Kub,ck2097@nittany.edu,19,46051,F,2x8rf35c,259 Cleveland Road ,EE
Carleton Flatley,cf2840@nittany.edu,22,32257,F,8lhl9t10,8687 N. Sleepy Hollow Court ,IST
Berta Reichert,br8852@nittany.edu,20,91710,F,6f3z7kb0,9236 El Dorado St. ,CSE
Calista Reichel,cr7454@nittany.edu,19,52570,F,6jcorz9a,7313 Stillwater Lane ,MATH
Carolyne Herman,ch9754@nittany.edu,22,34488,M,ajkwwmzd,9408 Anderson Court ,CMPEN
Dameon Herman,dh6358@nittany.edu,19,71827,M,3c34iijt,87 Vermont St. ,STAT
Blaze Jaskolski,bj2880@nittany.edu,21,85736,M,du41ksn8,9599 La Sierra St. ,CMPEN
Celestino Hilll,ch3297@nittany.edu,20,34691,M,3l51ofow,655 East Branch Dr. ,IST
Abbey Kunde,ak5096@nittany.edu,21,32563,M,cl82fa7j,8985 Cambridge Ave. ,PHYS
Abigayle Goldner,ag1594@nittany.edu,18,83666,M,bjppzwgj,285 Dogwood Drive ,EE
Brandi Bergstrom,bb3021@nittany.edu,20,90704,F,jwnn3kbs,7130 Longfellow Dr. ,MATH
Abe Wintheiser,aw8623@nittany.edu,21,92025,M,2ug8r41a,141 Gulf Rd. ,ECON
Caesar Rath II,cr5283@nittany.edu,19,61814,M,gjmnphk1,9498 Newport Ave. ,DS
Chloe Nienow,cn5833@nittany.edu,21,80648,M,r18uqmoj,9659 Rosewood Drive ,PHYS
Beverly Muller,bm9506@nittany.edu,21,81019,F,ajfck44r,963 Court Road ,IST
Casimer Runolfsdottir IV,cr7460@nittany.edu,19,47369,M,2s9glbub,259 Cleveland Road ,CMPEN
Adell Bradtke,ab8172@nittany.edu,19,90621,M,avpdvzzg,963 Court Road ,PHYS
Crawford Romaguera,cr8911@nittany.edu,20,52649,M,xh1z5q3c,863 Stillwater Road ,CSE
Aimee Schowalter,as9069@nittany.edu,19,67020,M,21ch6o1g,963 Court Road ,CHEM
Brannon Bins,bb4483@nittany.edu,22,72628,F,ib658n92,9599 La Sierra St. ,CSE
Cade Wilderman,cw7585@nittany.edu,20,86045,M,6thcq3ka,18 Lakeview Street ,ECON
Alden Murazik,am3245@nittany.edu,19,93610,M,y9hmo2y1,55 Hall St. ,CSE
Chad Breitenberg,cb2134@nittany.edu,22,33013,F,iu6rvymu,87 Vermont St. ,MATH
Adelia Huels,ah8299@nittany.edu,19,33541,F,pc2li9jb,608 North Addison St. ,PHYS
Brian Huel,bh1407@nittany.edu,22,30135,F,0sr7srbq,7195 North Canterbury Circle ,CMPEN
Crystal Keebler,ck4064@nittany.edu,22,46110,F,7lsd8u6o,232 W. Homewood Ave. ,IST
Cali Reichert,cr7030@nittany.edu,22,95540,F,0okfdvzu,119 Harvey Street ,PHYS
Abel Anderson Sr.,aa2256@nittany.edu,22,33154,F,hj0n3pp5,8985 Cambridge Ave. ,PHYS
Cassie Reynolds,cr7834@nittany.edu,21,47456,F,o5p7oizf,7195 North Canterbury Circle ,CMPSC
Clovis Tillman,ct2924@nittany.edu,21,6409,M,20aadwv7,9599 La Sierra St. ,CMPEN
Branson Wiegand Jr.,bw8893@nittany.edu,21,47850,M,qocb0jon,453 North Elm Dr. ,STAT
Carolyn Greenfelder,cg7136@nittany.edu,19,30464,F,xy9mo4ch,55 Hall St. ,MATH
Cierra Christiansen,cc2445@nittany.edu,21,60963,M,nc83dfhd,608 North Addison St. ,MATH
Carley Collins,cc1235@nittany.edu,21,91803,F,32gvv474,285 Dogwood Drive ,STAT
Chanelle Armstrong,ca6499@nittany.edu,18,32449,F,50oqcctn,83 Corona Street ,CMPSC
Coby Quitzon,cq4861@nittany.edu,20,67144,F,tw5426ed,7313 Stillwater Lane ,EE
Candice Nikolaus,cn5368@nittany.edu,20,95757,M,evxf35zl,7130 Longfellow Dr. ,CMPEN
Bernhard Lakin I,bl4092@nittany.edu,21,96059,M,1dtdo40q,7764 Union Avenue ,CMPEN
Breanne Ankunding,ba4903@nittany.edu,21,34241,F,00i72mf0,358 Marvon Ave. ,CHEM
Clare Wilderman,cw6141@nittany.edu,19,6854,M,i6uh8tg6,7529 Old Sunset Road ,DS
Casey Mann,cm4400@nittany.edu,19,62677,F,nvxhowyn,8401 Green Rd. ,CMPEN
Caterina Keebler,ck6661@nittany.edu,19,47260,F,y3ujhb8l,7313 Stillwater Lane ,CHEM
Cassie Ondricka,co5263@nittany.edu,21,32139,F,o00ttgut,9599 La Sierra St. ,STAT
Cooper Schamberger,cs4243@nittany.edu,22,81027,M,45ncapyh,708 York Dr. ,CMPEN
Bert Cole,bc4962@nittany.edu,21,50309,M,ksq8h86c,87 Vermont St. ,EE
Aiden Feeney,af8503@nittany.edu,19,33162,M,wm1cdnuo,9659 Rosewood Drive ,EE
Ada Morissette,am6323@nittany.edu,18,62232,F,9jwi71sj,232 W. Homewood Ave. ,CMPSC
Berry Paucek V,bp7877@nittany.edu,19,94509,M,vwy31jv7,9408 Anderson Court ,PHYS
Constantin West,cw7068@nittany.edu,21,62058,M,1zvd1snn,83 Corona Street ,CMPEN
Beau Langosh V,bl6052@nittany.edu,21,6612,F,qgdussoj,461 Heather Street ,EE
Constance Spencer,cs2006@nittany.edu,21,61358,M,px5st392,780 East Redwood Drive ,EE
Alek Harªann,ah6141@nittany.edu,22,83464,M,cqbh45an,7764 Union Avenue ,PHYS
Carmella Schmitt DDS,cs3754@nittany.edu,21,62675,M,4ad4so3q,9408 Anderson Court ,ECON
Bettie Keeling,bk6475@nittany.edu,21,91915,M,ms07pcfx,780 East Redwood Drive ,MATH
Carrie Heidenreich,ch6057@nittany.edu,21,60184,M,u618ku61,88 Harrison Street ,CMPEN
Alan Roob,ar9287@nittany.edu,21,72079,F,44vdzjle,4 Old Academy Drive ,ECON
Brent Murphy,bm6234@nittany.edu,20,30093,F,mesb9dvn,8131 Elizabeth Ave. ,DS
Belle Shanahan,bs1006@nittany.edu,20,81325,M,z1wbo8rz,8401 Green Rd. ,CMPSC
Clemmie Auer,ca5845@nittany.edu,21,66429,M,zfwpjz8k,453 North Elm Dr. ,IST
Chadrick Bahringer,cb6121@nittany.edu,18,61776,F,9ud209h4,655 East Branch Dr. ,CMPEN
Danika Howe,dh5008@nittany.edu,22,61753,M,17wgtqdn,9659 Rosewood Drive ,MATH
Abigayle Lind Sr.,al8943@nittany.edu,20,96797,M,ctvqpw3f,7450 West Manchester Street ,CMPSC
Abigayle Kuphal II,ak5890@nittany.edu,21,31554,F,xi209spb,7529 Old Sunset Road ,MATH
Cleveland Altenwerth DDS,ca1975@nittany.edu,22,19941,F,0nj3c33c,798 North Euclid Drive ,DS
Alene Strosin,as2674@nittany.edu,19,50455,M,lsrte554,9236 El Dorado St. ,CMPEN
Clarissa Kessler,ck4873@nittany.edu,19,62001,F,v2cjbrvc,963 Court Road ,CHEM
Daniela Roberts,dr8416@nittany.edu,18,60707,M,045ar2mf,9599 La Sierra St. ,ECON
Carmela Schowalter,cs5417@nittany.edu,21,72947,F,pcccpp55,7764 Union Avenue ,STAT
Bessie Dooley,bd6345@nittany.edu,19,33873,F,8f2lqduk,7529 Old Sunset Road ,IST
Braden Legros,bl3745@nittany.edu,22,61071,M,8i6is0ah,9420 Tallwood Street ,EE
Brannon Olson,bo5114@nittany.edu,18,46268,F,rjpdf3er,78 South Brewery Ave. ,ECON
Carolina Keebler,ck8437@nittany.edu,20,50511,M,zkvrp5jt,863 Stillwater Road ,EE
Abbey Gulgowski,ag5931@nittany.edu,18,91803,M,5uvu9byo,7195 North Canterbury Circle ,DS
Brook Fahey,bf5148@nittany.edu,20,46506,F,9jmi0zwo,453 North Elm Dr. ,CMPSC
D'angelo Bauch,db2409@nittany.edu,19,95234,F,msl605wk,9236 El Dorado St. ,DS
Al Schamberger,as2481@nittany.edu,18,32667,M,tj74r303,9599 La Sierra St. ,CSE
Cathryn Dach MD,cd4187@nittany.edu,20,46774,M,xs85pn08,18 Lakeview Street ,MATH
Adrian Jacobson I,aj3787@nittany.edu,18,95303,F,957kzj9i,266 Second Street ,CMPEN
Albin Effertz,ae5810@nittany.edu,21,93615,M,laqw8wy4,251 West Sheffield Drive ,CHEM
Candido Corwin,cc6232@nittany.edu,22,60458,M,xgedsmm3,8401 Green Rd. ,IST
Brooklyn Roob,br8383@nittany.edu,19,51033,F,wd4s9vg9,8985 Cambridge Ave. ,ECON
Damian Cremin,dc8417@nittany.edu,21,62689,F,kmi4uxpg,120 Heritage Lane ,CHEM
Aditya Powlowski,ap8774@nittany.edu,18,62694,M,v05k1v63,7130 Longfellow Dr. ,STAT
Bryce Beahan,bb4001@nittany.edu,18,95717,F,thufxhze,7764 Union Avenue ,DS
Carol Price,cp9426@nittany.edu,18,47802,F,y8x1jptl,91 S. Gartner Street ,ECON
Dane Hirthe,dh7522@nittany.edu,18,61049,M,1va14zi3,119 Harvey Street ,CHEM
Alexandre O'Hara,ao3325@nittany.edu,20,32218,M,p7zeye92,461 Heather Street ,EE
Catharine Stamm,cs4540@nittany.edu,19,80203,F,hqjkh5qw,251 West Sheffield Drive ,IST
Cecilia Wilderman,cw3561@nittany.edu,18,93657,F,ld6euu2f,798 North Euclid Drive ,CHEM
Camren Murphy,cm5322@nittany.edu,19,62311,F,g1pp37m7,182 Spring Street ,EE
Alejandrin Brekke,ab5104@nittany.edu,21,31757,F,ysawmj9y,336 Myrtle Street ,STAT
Cloyd Walsh,cw1038@nittany.edu,21,32464,F,qe0iy7nq,78 South Brewery Ave. ,DS
Aisha Wolff II,aw8382@nittany.edu,22,46239,M,n24jab1u,8687 N. Sleepy Hollow Court ,PHYS
Chaim Batz,cb5065@nittany.edu,20,91941,F,7ypnjh47,285 Dogwood Drive ,CSE
Breanna Turcotte,bt1573@nittany.edu,18,95824,F,v9p6v25z,87 Vermont St. ,CMPSC
Citlalli Strosin,cs3610@nittany.edu,21,92131,F,bgqgje4n,285 Dogwood Drive ,CMPEN
Danny Boyer,db6530@nittany.edu,19,32211,M,ibqumeb3,453 North Elm Dr. ,STAT
Colton Simonis I,cs1816@nittany.edu,22,62938,M,m6nwqse8,259 Cleveland Road ,EE
Einar Homenick I,eh3966@nittany.edu,19,81654,F,t9rgkjvk,8687 N. Sleepy Hollow Court ,CMPSC
Gladyce Langworth,gl5131@nittany.edu,21,30619,F,citvflsq,4 Old Academy Drive ,IST
Eileen Ullrich,eu6734@nittany.edu,18,67450,F,wiz18kft,863 Stillwater Road ,EE
Giovanni Jerde,gj1336@nittany.edu,20,83856,M,ukbofbpy,26 Johnson St. ,ECON
Ferne Emard,fe4839@nittany.edu,22,81320,F,maw8k1p2,88 Harrison Street ,EE
Elwin Waelchi,ew9592@nittany.edu,21,96701,F,2a5d4gvm,798 North Euclid Drive ,CMPEN
Earl Dare,ed8801@nittany.edu,22,95680,F,n1otsmb8,259 Cleveland Road ,IST
Gilda Parisian,gp4162@nittany.edu,20,47805,F,0uek82zt,26 Johnson St. ,ECON
Ilene Schamberger,is6689@nittany.edu,19,81521,F,gfqase8s,119 Harvey Street ,MATH
